OBJECTID,Tract_Name,Tract_FIPS,County,Area_Land_Square_Miles,Area_Water_Square_Miles,Population_Total,Population_Density_PerLandSquareMile
1127,"Census Tract 61, Arapahoe County, Colorado",8005006100,ARAPAHOE,0.44,0,2905,6602.3
1128,"Census Tract 63, Arapahoe County, Colorado",8005006300,ARAPAHOE,0.5,0,2472,4944
1129,"Census Tract 67.06, Arapahoe County, Colorado",8005006706,ARAPAHOE,0.87,0.13,5074,5832.2
1130,"Census Tract 62, Arapahoe County, Colorado",8005006200,ARAPAHOE,0.96,0.01,3217,3351
1131,"Census Tract 59.52, Arapahoe County, Colorado",8005005952,ARAPAHOE,0.39,0,3473,8905.1
1132,"Census Tract 59.51, Arapahoe County, Colorado",8005005951,ARAPAHOE,0.55,0,4680,8509.1
1133,"Census Tract 58, Arapahoe County, Colorado",8005005800,ARAPAHOE,0.47,0,2537,5397.9
1134,"Census Tract 56.12, Arapahoe County, Colorado",8005005612,ARAPAHOE,1.5,0,3788,2525.3
1135,"Census Tract 64, Arapahoe County, Colorado",8005006400,ARAPAHOE,0.9,0.03,3345,3716.7
1136,"Census Tract 60, Arapahoe County, Colorado",8005006000,ARAPAHOE,0.99,0.02,2813,2841.4
1137,"Census Tract 3.01, El Paso County, Colorado",8041000301,EL PASO,0.71,0,3077,4333.8
1138,"Census Tract 2.03, El Paso County, Colorado",8041000203,EL PASO,1.03,0,4236,4112.6
1139,"Census Tract 805, Arapahoe County, Colorado",8005080500,ARAPAHOE,0.49,0,3692,7534.7
1140,"Census Tract 830, Arapahoe County, Colorado",8005083000,ARAPAHOE,3.96,0,3501,884.1
1141,"Census Tract 832, Arapahoe County, Colorado",8005083200,ARAPAHOE,1.98,0,9168,4630.3
1142,"Census Tract 859, Arapahoe County, Colorado",8005085900,ARAPAHOE,1.81,0,4240,2342.5
1143,"Census Tract 68.55, Arapahoe County, Colorado",8005006855,ARAPAHOE,3.02,0,5569,1844
1144,"Census Tract 864, Arapahoe County, Colorado",8005086400,ARAPAHOE,3.12,0,2122,680.1
1145,"Census Tract 867, Arapahoe County, Colorado",8005086700,ARAPAHOE,2.35,0,4122,1754
1146,"Census Tract 71.03, Arapahoe County, Colorado",8005007103,ARAPAHOE,63.84,0.18,1619,25.4
1147,"Census Tract 57, Arapahoe County, Colorado",8005005700,ARAPAHOE,0.88,0.02,3482,3956.8
1148,"Census Tract 56.22, Arapahoe County, Colorado",8005005622,ARAPAHOE,2.31,0.41,2345,1015.2
1149,"Census Tract 56.11, Arapahoe County, Colorado",8005005611,ARAPAHOE,1.55,0,5201,3355.5
1150,"Census Tract 74, Arapahoe County, Colorado",8005007400,ARAPAHOE,0.75,0,5679,7572
1151,"Census Tract 55.53, Arapahoe County, Colorado",8005005553,ARAPAHOE,0.93,0.07,3869,4160.2
1152,"Census Tract 56.26, Arapahoe County, Colorado",8005005626,ARAPAHOE,0.78,0,3757,4816.7
1153,"Census Tract 76, Arapahoe County, Colorado",8005007600,ARAPAHOE,0.51,0,3638,7133.3
1154,"Census Tract 2.02, El Paso County, Colorado",8041000202,EL PASO,1.06,0,4626,4364.2
1155,"Census Tract 79, El Paso County, Colorado",8041007900,EL PASO,2.35,0.02,2531,1077
1156,"Census Tract 1.02, El Paso County, Colorado",8041000102,EL PASO,0.63,0,3674,5831.7
1157,"Census Tract 47.01, El Paso County, Colorado",8041004701,EL PASO,0.88,0,5005,5687.5
1158,"Census Tract 55.01, El Paso County, Colorado",8041005501,EL PASO,1.31,0,4616,3523.7
1159,"Census Tract 49.01, El Paso County, Colorado",8041004901,EL PASO,0.66,0,3895,5901.5
1160,"Census Tract 49.02, El Paso County, Colorado",8041004902,EL PASO,1.58,0,5812,3678.5
1161,"Census Tract 45.01, El Paso County, Colorado",8041004501,EL PASO,5.24,0.02,4339,828.1
1162,"Census Tract 40.08, El Paso County, Colorado",8041004008,EL PASO,15.49,0.01,2717,175.4
1163,"Census Tract 70, El Paso County, Colorado",8041007000,EL PASO,2.03,0,4102,2020.7
1164,"Census Tract 37.02, El Paso County, Colorado",8041003702,EL PASO,2.02,0,5134,2541.6
1165,"Census Tract 28, El Paso County, Colorado",8041002800,EL PASO,2.85,0,6262,2197.2
1166,"Census Tract 13.01, El Paso County, Colorado",8041001301,EL PASO,0.51,0,2435,4774.5
1167,"Census Tract 39.02, El Paso County, Colorado",8041003902,EL PASO,40.68,0.07,11965,294.1
1168,"Census Tract 73, El Paso County, Colorado",8041007300,EL PASO,14.9,0,9705,651.3
1169,"Census Tract 837, Arapahoe County, Colorado",8005083700,ARAPAHOE,1.8,0,4506,2503.3
1170,"Census Tract 861, Arapahoe County, Colorado",8005086100,ARAPAHOE,0.73,0,4769,6532.9
1171,"Census Tract 71.07, Arapahoe County, Colorado",8005007107,ARAPAHOE,5.45,0,7719,1416.3
1172,"Census Tract 851, Arapahoe County, Colorado",8005085100,ARAPAHOE,1.44,0,6948,4825
1173,"Census Tract 856, Arapahoe County, Colorado",8005085600,ARAPAHOE,0.49,0,3283,6700
1174,"Census Tract 855, Arapahoe County, Colorado",8005085500,ARAPAHOE,0.84,0,5352,6371.4
1175,"Census Tract 870, Arapahoe County, Colorado",8005087000,ARAPAHOE,0.37,0,5203,14062.2
1176,"Census Tract 868, Arapahoe County, Colorado",8005086800,ARAPAHOE,0.66,0,7088,10739.4
1177,"Census Tract 55.51, Arapahoe County, Colorado",8005005551,ARAPAHOE,1.21,0,3305,2731.4
1178,"Census Tract 77.02, Arapahoe County, Colorado",8005007702,ARAPAHOE,1.07,0,4114,3844.9
1179,"Census Tract 801, Arapahoe County, Colorado",8005080100,ARAPAHOE,0.55,0,4601,8365.5
1180,"Census Tract 848, Arapahoe County, Colorado",8005084800,ARAPAHOE,0.58,0,3730,6431
1181,"Census Tract 71.01, Arapahoe County, Colorado",8005007101,ARAPAHOE,462.42,4.28,5025,10.9
1182,"Census Tract 819, Arapahoe County, Colorado",8005081900,ARAPAHOE,1.01,0,6622,6556.4
1183,"Census Tract 820, Arapahoe County, Colorado",8005082000,ARAPAHOE,1.26,0.01,4198,3331.7
1184,"Census Tract 814, Arapahoe County, Colorado",8005081400,ARAPAHOE,1.02,0,4064,3984.3
1185,"Census Tract 72.02, Arapahoe County, Colorado",8005007202,ARAPAHOE,0.64,0,4201,6564.1
1186,"Census Tract 75, El Paso County, Colorado",8041007500,EL PASO,61.19,0.04,8203,134.1
1187,"Census Tract 39.09, El Paso County, Colorado",8041003909,EL PASO,317.25,0.18,6807,21.5
1188,"Census Tract 23, El Paso County, Colorado",8041002300,EL PASO,1.22,0,1677,1374.6
1189,"Census Tract 872, Arapahoe County, Colorado",8005087200,ARAPAHOE,0.9,0,4210,4677.8
1190,"Census Tract 850, Arapahoe County, Colorado",8005085000,ARAPAHOE,1.25,0,1720,1376
1191,"Census Tract 838, Arapahoe County, Colorado",8005083800,ARAPAHOE,0.5,0,3209,6418
1192,"Census Tract 71.05, Arapahoe County, Colorado",8005007105,ARAPAHOE,33.72,0.01,5043,149.6
1193,"Census Tract 71.04, Arapahoe County, Colorado",8005007104,ARAPAHOE,21.45,0,5608,261.4
1194,"Census Tract 860, Arapahoe County, Colorado",8005086000,ARAPAHOE,1.3,0,7984,6141.5
1195,"Census Tract 71.06, Arapahoe County, Colorado",8005007106,ARAPAHOE,64.42,0.03,5495,85.3
1196,"Census Tract 831, Arapahoe County, Colorado",8005083100,ARAPAHOE,1.02,0,6217,6095.1
