state,test_id,recall_vote,district
CO,1772499,No,03
CO,2275419,No,03
CO,3956471,No,03
CO,917103,No,03
CO,2868883,DK,03
CO,502402,No,03
CO,1582843,Yes,03
CO,4273302,Yes,03
CO,3317838,Yes,03
CO,3412201,No,03
CO,1857185,Yes,03
CO,3457346,Yes,03
CO,3608005,Yes,03
CO,2445019,Yes,03
CO,2843384,No,03
CO,201403,Yes,03
CO,482849,No,03
CO,1258584,No,03
CO,1580533,Yes,03
CO,1709396,No,03
CO,1993768,No,03
CO,176426,Yes,03
CO,808173,No,03
CO,605804,Yes,03
CO,2363946,Yes,03
CO,3098242,DK,03
CO,2427451,Yes,03
CO,3566066,No,03
CO,41325,No,03
CO,3811579,No,03
CO,4134697,No,03
CO,4500397,DK,03
CO,4951277,No,03
CO,2504205,No,03
CO,2481613,No,03
CO,2241498,Yes,03
CO,3248835,DK,03
CO,4717524,Yes,03
CO,4865696,Yes,03
CO,52774,No,03
CO,3710917,Yes,03
CO,2129526,Yes,03
CO,1614336,Yes,03
CO,4567217,No,03
CO,877388,No,03
CO,4570121,Yes,03
CO,1319248,Yes,03
CO,3463893,DK,03
CO,4808382,No,03
CO,2015563,No,03
CO,2494969,DK,03
CO,1214924,DK,03
CO,4016094,No,03
CO,4561698,No,03
CO,4782770,Yes,03
CO,273995,No,03
CO,2984607,Yes,03
CO,3309452,No,03
CO,3676945,No,03
CO,234849,No,03
CO,1006500,DK,03
CO,4666263,No,03
CO,441498,Yes,03
CO,447916,No,03
CO,1121675,Yes,03
CO,588571,No,03
CO,2126498,Yes,03
CO,3533499,Yes,03
CO,4381021,DK,03
CO,2145159,Yes,03
CO,3008985,DK,03
CO,3359732,No,03
CO,2609126,No,03
CO,1275888,No,03
CO,1791579,Yes,03
CO,1594558,Yes,03
CO,2649283,No,03
CO,3751374,No,03
CO,4702431,Yes,03
CO,4540334,No,03
CO,1136057,Yes,03
CO,1269309,No,03
CO,1702719,No,03
CO,3196094,Yes,03
CO,782098,DK,03
CO,3883485,Yes,03
CO,402274,Yes,03
CO,4089858,No,03
CO,1661277,No,03
CO,1480415,No,03
CO,2086314,Yes,03
CO,3721043,No,03
CO,2034122,No,03
CO,593793,No,03
CO,1861159,Yes,03
CO,41239,No,03
CO,2437887,Yes,03
CO,4212877,Yes,03
CO,3729190,Yes,03
CO,1855252,Yes,03
CO,3685748,No,03
CO,3205360,No,03
CO,2105459,No,03
CO,2212543,DK,03
CO,1433574,No,03
CO,726364,Yes,03
CO,2611856,No,03
CO,2631504,DK,03
CO,2888139,No,03
CO,3902805,DK,03
CO,3351509,DK,03
CO,3712215,DK,03
CO,3691362,DK,03
CO,4972562,Yes,03
CO,62781,Yes,03
CO,1097066,No,03
CO,287187,Yes,03
CO,1971040,Yes,03
CO,2749212,Yes,03
CO,2850995,Yes,03
CO,2709750,DK,03
CO,4301401,No,03
CO,858714,Yes,03
CO,314571,Yes,03
CO,4149862,Yes,03
CO,1994931,No,03
CO,2877193,DK,03
CO,1306885,Yes,03
CO,827779,Yes,03
CO,2315605,No,03
CO,2687664,Yes,03
CO,2957977,Yes,03
CO,4857235,No,03
CO,1932954,Yes,03
CO,1186758,Yes,03
CO,1592452,Yes,03
CO,2709975,No,03
CO,383237,DK,03
CO,1744249,Yes,03
CO,4207584,Yes,03
CO,4410218,DK,03
CO,2850430,Yes,03
CO,2032544,DK,03
ID,958347,Yes,03
CO,2501343,No,03
CO,3027250,Yes,03
CO,3966912,DK,03
CO,1612668,Yes,03
CO,474665,Yes,03
CO,291083,Yes,03
CO,3717209,Yes,03
CO,2670417,Yes,03
CO,4031800,No,03
CO,846408,Yes,03
CO,3562924,No,03
CO,4489441,No,03
CO,3711427,Yes,03
CO,874223,DK,03
CO,4735096,DK,03
CO,2960661,DK,03
CO,948591,No,03
CO,4613251,No,03
CO,3330846,Yes,03
CO,3329046,No,03
CO,4674837,No,03
CO,1650443,Yes,03
CO,4713102,No,03
CO,2363216,No,03
CO,4227763,Yes,03
CO,3702452,DK,03
CO,3846834,No,03
CO,3254568,No,03
NA,2760853,Yes,03
CO,1720218,No,03
CO,3878016,Yes,03
CO,3047190,Yes,03
CO,4509594,DK,03
CO,2949469,Yes,03
CO,4356849,Yes,03
CO,4541389,No,03
CO,4851176,Yes,03
NY,1642904,Yes,03
CO,3811572,Yes,03
CO,930699,Yes,03
CO,391340,No,03
CO,4817738,No,03
CO,1139563,No,03
CO,4400,No,03
CO,580860,No,03
CO,4949992,Yes,03
CO,1174713,Yes,03
CO,3562208,No,03
CO,103432,No,03
CO,2414214,Yes,03
CO,293217,No,03
CO,1902177,No,03
CO,3214001,Yes,03
CO,2203915,Yes,03
CO,3511813,Yes,03
CO,4125289,No,03
CO,1489253,Yes,03
CO,4177286,No,03
CO,2588407,No,03
CO,1403060,DK,03
CO,2773005,Yes,03
CO,4633074,No,03
CO,1990670,No,03
CO,1219922,Yes,03
CO,810922,No,03
CO,973647,DK,03
CO,104454,No,03
CO,1749287,Yes,03
CO,4795644,No,03
CO,1240297,Yes,03
CO,3523174,Yes,03
CO,2867995,Yes,03
CO,2281168,No,03
CO,3154190,No,03
CO,4190615,Yes,03
CO,3007828,Yes,03
CO,3173199,Yes,03
CO,2370846,Yes,03
CO,3346916,DK,03
CO,273234,Yes,03
CO,3338605,Yes,03
CO,3707679,No,03
CO,3176657,Yes,03
CO,2018044,Yes,03
CO,3052869,Yes,03
CO,4861370,DK,03
CO,753888,No,03
CO,2464374,Yes,03
CO,1795106,Yes,03
CO,4017073,Yes,03
CO,2579455,DK,03
CO,565178,Yes,03
CO,4754926,Yes,03
CO,767104,DK,03
CO,629760,No,03
CO,1346857,No,03
CO,3973316,Yes,03
CO,3876187,DK,03
CO,2172112,No,03
CO,3218949,No,03
CO,873687,DK,03
CO,3560112,Yes,03
CO,2954035,Yes,03
CO,1511293,No,03
CO,4270306,No,03
CO,2753504,Yes,03
CO,4116182,Yes,03
CO,3251286,No,03
CO,1644580,DK,03
CO,1303091,No,03
CO,2222904,Yes,03
CO,2720788,Yes,03
CO,3671441,No,03
CO,991911,No,03
CO,912868,No,03
CO,3074924,No,03
CO,1298062,Yes,03
CO,2334341,DK,03
CO,740969,DK,03
CO,4125287,Yes,03
CO,819284,DK,03
CO,2560748,DK,03
CO,4726348,Yes,03
CO,2363729,No,03
CO,3974741,Yes,03
CO,3173379,No,03
CO,2777123,Yes,03
CO,4708560,No,03
CO,4355514,No,03
CO,3015283,No,03
CO,1825619,Yes,03
CO,2209919,Yes,03
CO,1750278,Yes,03
CO,82129,Yes,03
CO,486497,Yes,03
CO,750118,Yes,03
CO,2653122,DK,03
CO,2654795,Yes,03
CO,3321734,Yes,03
CO,4830567,No,03
CO,3497257,No,03
CO,3668812,Yes,03
CO,2270008,Yes,03
CO,419153,No,03
CO,4336191,Yes,03
CO,413727,Yes,03
CO,4935775,Yes,03
CO,1473453,No,03
CO,834215,No,03
CO,2398480,No,03
CO,591278,No,03
CO,963020,No,03
CO,2023820,DK,03
CO,1627695,No,03
CO,45532,Yes,03
CO,4494965,No,03
CO,1810542,Yes,03
CO,1479927,Yes,03
CO,1111757,DK,03
CO,4011146,Yes,03
CO,1212533,DK,03
CO,4132733,Yes,03
CO,4897148,Yes,03
CO,4861680,No,03
CO,1259922,No,03
CO,4554055,Yes,03
CO,4889655,No,03
CO,3326915,Yes,03
CO,2620894,No,03
CO,2341885,Yes,03
CO,2149072,No,03
CO,3789732,Yes,03
CO,4105127,Yes,03
CO,3653663,DK,03
CA,2357780,Yes,03
CA,1456873,Yes,03
CO,3581255,No,03
CO,3329437,No,03
CO,3368851,Yes,03
CO,627749,Yes,03
NY,2569368,Yes,03
ME,2245802,Yes,03
CO,3073098,Yes,03
CO,1722558,No,03
CO,4031034,DK,03
CO,4923893,Yes,03
CO,1808328,Yes,03
CO,1646158,No,03
CO,659752,DK,03
CO,4213054,Yes,03
CO,2327258,Yes,03
CO,1239597,DK,03
CO,1463362,No,03
CO,728252,DK,03
CO,4487300,No,03
CO,2278093,Yes,03
CO,2778480,Yes,03
CO,4892014,No,03
CO,502366,DK,03
CO,4928957,Yes,03
CO,1380690,Yes,03
CO,3271111,Yes,03
CO,511227,DK,03
CO,4425055,Yes,03
AZ,286043,DK,03
CO,1392217,No,03
CO,4742816,No,03
CO,3201436,Yes,03
CO,1957435,DK,03
CO,764959,No,03
CO,3596590,Yes,03
CO,772098,Yes,03
CO,4761582,Yes,03
FL,4873289,No,03
CO,3981317,DK,03
CO,2831363,DK,03
CO,3548999,No,03
CO,2766360,Yes,03
CO,1992611,Yes,03
CO,3404668,Yes,03
CO,1556958,Yes,03
CO,3590349,DK,03
CO,156999,DK,03
CO,4973627,No,03
CO,756838,Yes,03
CO,4493395,Yes,03
CO,4255412,Yes,03
CO,2480833,No,03
CO,970912,No,03
CO,3993718,Yes,03
CO,2831413,Yes,03
CO,1361250,DK,03
CO,1027342,No,03
CO,2972400,Yes,03
CO,436426,No,03
CO,4617906,No,03
CO,2351624,Yes,03
CO,4681398,No,03
CO,1496287,Yes,03
CO,4451438,Yes,03
CO,67898,Yes,03
CO,3685256,DK,03
CO,227582,DK,03
CO,1936183,DK,03
CO,3708247,No,03
CO,995016,Yes,03
CO,3159564,Yes,03
CO,3120204,DK,03
CO,905028,Yes,03
CO,56962,No,03
CO,2612013,No,03
CO,1982060,Yes,03
CO,4913747,DK,03
CO,254544,Yes,03
CO,3267036,DK,03
CO,3586066,DK,03
CO,1436916,Yes,03
CO,1305201,DK,03
CO,2189935,DK,03
CO,932986,DK,03
CO,3220830,Yes,03
CO,2443871,No,03
CO,1670200,DK,03
CO,4988637,Yes,03
CO,1934009,Yes,03
CO,827418,Yes,03
CO,1313929,Yes,03
CO,3363618,Yes,03
CO,826903,Yes,03
CO,3095990,Yes,03
CO,1596272,DK,03
CO,1031457,Yes,03
CO,2018593,DK,03
