state	test_id	recall_vote
CO	3200857	Yes
CO	2565088	DK
CO	58644	DK
CO	2369664	Yes
CO	2283962	Yes
CO	3694845	No
CO	1171455	DK
CO	4062197	Yes
CO	1419174	No
CO	2550797	No
CO	3738695	Yes
CO	726751	No
CO	3612375	No
CO	4233991	Yes
CO	2351720	No
CO	2839689	Yes
CO	2844112	Yes
CO	1770642	Yes
CO	2436768	Yes
CO	3902875	Yes
CO	4857923	Yes
CO	427253	No
CO	2519910	No
CO	1691387	Yes
CO	4891884	No
CO	4202724	Yes
CO	3085563	Yes
CO	1093237	No
CO	2946490	No
CO	2606902	No
CO	1036905	Yes
CO	2044352	Yes
CO	509651	DK
CO	2489218	No
CO	3471753	No
CO	239142	No
CO	4922034	Yes
CO	2557882	No
CO	2066865	No
CO	4321626	DK
CO	2492854	Yes
CO	974912	No
CO	782799	DK
CO	83863	No
CO	1279424	DK
CO	1544634	Yes
CO	2849492	No
CO	4313749	Yes
CO	545135	Yes
CO	620198	No
CO	2470198	DK
CO	2371241	No
CO	3134138	Yes
CO	440555	Yes
CO	4261429	Yes
CO	742520	Yes
CO	2715218	No
CO	667915	No
CO	1154092	Yes
CO	1134104	Yes
CO	3655971	DK
CO	1413381	DK
CO	768451	Yes
CO	683041	Yes
CO	3740834	DK
CO	4855674	No
CO	4015617	No
CO	4093038	Yes
CO	4598609	No
CO	984343	No
CO	2439333	Yes
CO	3379866	No
CO	4571996	Yes
CO	3137247	No
CO	4808873	No
CO	3938679	No
CO	986849	Yes
CO	240277	Yes
CO	544156	DK
CO	2760013	No
CO	3112132	Yes
CO	4029816	DK
CO	1410217	Yes
CO	1434194	No
CO	628825	Yes
CO	3048660	Yes
CO	4480447	DK
CO	3285607	Yes
CO	2581579	Yes
CO	3824391	No
CO	2455156	DK
CO	592656	Yes
CO	181772	Yes
CO	3319664	No
CO	4497706	Yes
CO	3869151	Yes
CO	3109305	Yes
CO	2485656	DK
CO	544274	Yes
CO	2163611	No
CO	2190149	No
CO	2035736	DK
CO	1572721	Yes
CO	2006982	DK
CO	2639980	No
CO	2460679	No
CO	1818319	Yes
CO	3699439	Yes
CO	3990412	No
CO	2142048	DK
CO	2578340	No
CO	1952706	Yes
CO	3487559	No
CO	3887304	No
CO	2489456	No
CO	4600069	Yes
CO	3580231	Yes
CO	3865668	No
CO	1521653	No
CO	2039971	Yes
CO	1374667	Yes
CO	1402714	Yes
CO	2102888	No
CO	490293	DK
CO	2984942	Yes
CO	3943900	Yes
CO	4216641	Yes
CO	3730411	DK
CO	5665	No
CO	1978906	Yes
CO	2594424	No
CO	1235507	No
CO	2817928	No
CO	1583124	Yes
CO	2475502	Yes
CO	693027	No
CO	3888440	No
CO	1918168	No
CO	894889	Yes
CO	2118039	No
CO	1633969	No
CO	1613604	DK
CO	2330269	Yes
CO	2862717	No
CO	3679432	Yes
CO	1862261	Yes
CO	923235	No
CO	488627	Yes
CO	182614	Yes
CO	3136232	Yes
CO	1852981	Yes
CO	2821089	Yes
CO	4396391	No
CO	3457437	Yes
CO	1673150	No
CO	4860921	No
CO	1585692	No
CO	2525311	Yes
CO	420446	Yes
CO	2448256	Yes
CO	1731761	Yes
CO	2398367	Yes
CO	82079	DK
CO	1772499	No
CO	2275419	No
CO	3956471	No
CO	917103	No
CO	2868883	DK
CO	502402	No
CO	1582843	Yes
CO	4273302	Yes
CO	3317838	Yes
CO	3412201	No
CO	1857185	Yes
CO	3457346	Yes
CO	3608005	Yes
CO	2445019	Yes
CO	2843384	No
CO	201403	Yes
CO	482849	No
CO	1258584	No
CO	1580533	Yes
CO	1709396	No
CO	1993768	No
CO	176426	Yes
CO	808173	No
CO	605804	Yes
CO	2363946	Yes
CO	3098242	DK
CO	2427451	Yes
CO	3566066	No
CO	41325	No
CO	3811579	No
CO	4134697	No
CO	4500397	DK
CO	4951277	No
CO	2504205	No
CO	2481613	No
CO	2241498	Yes
CO	3248835	DK
CO	4717524	Yes
CO	4865696	Yes
CO	52774	No
CO	3710917	Yes
CO	2129526	Yes
CO	1614336	Yes
CO	4567217	No
CO	877388	No
CO	4570121	Yes
CO	1319248	Yes
CO	3463893	DK
CO	4808382	No
CO	2015563	No
CO	2494969	DK
CO	1214924	DK
CO	4016094	No
CO	4561698	No
CO	4782770	Yes
CO	273995	No
CO	2984607	Yes
CO	3309452	No
CO	3676945	No
CO	234849	No
CO	1006500	DK
CO	4666263	No
CO	441498	Yes
CO	447916	No
CO	1121675	Yes
CO	588571	No
CO	2126498	Yes
CO	3533499	Yes
CO	4381021	DK
CO	2145159	Yes
CO	3008985	DK
CO	3359732	No
CO	2609126	No
CO	1275888	No
CO	1791579	Yes
CO	1594558	Yes
CO	2649283	No
CO	3751374	No
CO	4702431	Yes
CO	4540334	No
CO	1136057	Yes
CO	1269309	No
CO	1702719	No
CO	3196094	Yes
CO	782098	DK
CO	3883485	Yes
CO	402274	Yes
CO	4089858	No
CO	1661277	No
CO	1480415	No
CO	2086314	Yes
CO	3721043	No
CO	2034122	No
CO	593793	No
CO	1861159	Yes
CO	41239	No
CO	2437887	Yes
CO	4212877	Yes
CO	3729190	Yes
CO	1855252	Yes
CO	3685748	No
CO	3205360	No
CO	2105459	No
CO	2212543	DK
CO	1433574	No
CO	726364	Yes
CO	2611856	No
CO	2631504	DK
CO	2888139	No
CO	3902805	DK
CO	3351509	DK
CO	3712215	DK
CO	3691362	DK
CO	4972562	Yes
CO	62781	Yes
CO	1097066	No
CO	287187	Yes
CO	1971040	Yes
CO	2749212	Yes
CO	2850995	Yes
CO	2709750	DK
CO	4301401	No
CO	858714	Yes
CO	314571	Yes
CO	4149862	Yes
CO	1994931	No
CO	2877193	DK
CO	1306885	Yes
CO	827779	Yes
CO	2315605	No
CO	2687664	Yes
CO	2957977	Yes
CO	4857235	No
CO	1932954	Yes
CO	1186758	Yes
CO	1592452	Yes
CO	2709975	No
CO	383237	DK
CO	1744249	Yes
CO	4207584	Yes
CO	4410218	DK
CO	2850430	Yes
CO	2032544	DK
ID	958347	Yes
CO	2501343	No
CO	3027250	Yes
CO	3966912	DK
CO	1612668	Yes
CO	474665	Yes
CO	291083	Yes
CO	3717209	Yes
CO	2670417	Yes
CO	4031800	No
CO	846408	Yes
CO	3562924	No
CO	4489441	No
CO	3711427	Yes
CO	874223	DK
CO	4735096	DK
CO	2960661	DK
CO	948591	No
CO	4613251	No
CO	3330846	Yes
CO	3329046	No
CO	4674837	No
CO	1650443	Yes
CO	4713102	No
CO	2363216	No
CO	4227763	Yes
CO	3702452	DK
CO	3846834	No
CO	3254568	No
	2760853	Yes
CO	1720218	No
CO	3878016	Yes
CO	3047190	Yes
CO	4509594	DK
CO	2949469	Yes
CO	4356849	Yes
CO	4541389	No
CO	4851176	Yes
NY	1642904	Yes
CO	3811572	Yes
CO	930699	Yes
CO	391340	No
CO	4817738	No
CO	1139563	No
CO	4400	No
CO	580860	No
CO	4949992	Yes
CO	1174713	Yes
CO	3562208	No
CO	103432	No
CO	2414214	Yes
CO	293217	No
CO	1902177	No
CO	3214001	Yes
CO	2203915	Yes
CO	3511813	Yes
CO	4125289	No
CO	1489253	Yes
CO	4177286	No
CO	2588407	No
CO	1403060	DK
CO	2773005	Yes
CO	4633074	No
CO	1990670	No
CO	1219922	Yes
CO	810922	No
CO	973647	DK
CO	104454	No
CO	1749287	Yes
CO	4795644	No
CO	1240297	Yes
CO	3523174	Yes
CO	2867995	Yes
CO	2281168	No
CO	3154190	No
CO	4190615	Yes
CO	3007828	Yes
CO	3173199	Yes
CO	2370846	Yes
CO	3346916	DK
CO	273234	Yes
CO	3338605	Yes
CO	3707679	No
CO	3176657	Yes
CO	2018044	Yes
CO	3052869	Yes
CO	4861370	DK
CO	753888	No
CO	2464374	Yes
CO	1795106	Yes
CO	4017073	Yes
CO	2579455	DK
CO	565178	Yes
CO	4754926	Yes
CO	767104	DK
CO	629760	No
CO	1346857	No
CO	3973316	Yes
CO	3876187	DK
CO	2172112	No
CO	3218949	No
CO	873687	DK
CO	3560112	Yes
CO	2954035	Yes
CO	1511293	No
CO	4270306	No
CO	2753504	Yes
CO	4116182	Yes
CO	3251286	No
CO	1644580	DK
CO	1303091	No
CO	2222904	Yes
CO	2720788	Yes
CO	3671441	No
CO	991911	No
CO	912868	No
CO	3074924	No
CO	1298062	Yes
CO	2334341	DK
CO	740969	DK
CO	4125287	Yes
CO	819284	DK
CO	2560748	DK
CO	4726348	Yes
CO	2363729	No
CO	3974741	Yes
CO	3173379	No
CO	2777123	Yes
CO	4708560	No
CO	4355514	No
CO	3015283	No
CO	1825619	Yes
CO	2209919	Yes
CO	1750278	Yes
CO	82129	Yes
CO	486497	Yes
CO	750118	Yes
CO	2653122	DK
CO	2654795	Yes
CO	3321734	Yes
CO	4830567	No
CO	3497257	No
CO	3668812	Yes
CO	2270008	Yes
CO	419153	No
CO	4336191	Yes
CO	413727	Yes
CO	4935775	Yes
CO	1473453	No
CO	834215	No
CO	2398480	No
CO	591278	No
CO	963020	No
CO	2023820	DK
CO	1627695	No
CO	45532	Yes
CO	4494965	No
CO	1810542	Yes
CO	1479927	Yes
CO	1111757	DK
CO	4011146	Yes
CO	1212533	DK
CO	4132733	Yes
CO	4897148	Yes
CO	4861680	No
CO	1259922	No
CO	4554055	Yes
CO	4889655	No
CO	3326915	Yes
CO	2620894	No
CO	2341885	Yes
CO	2149072	No
CO	3789732	Yes
CO	4105127	Yes
CO	3653663	DK
CA	2357780	Yes
CA	1456873	Yes
CO	3581255	No
CO	3329437	No
CO	3368851	Yes
CO	627749	Yes
NY	2569368	Yes
ME	2245802	Yes
CO	3073098	Yes
CO	1722558	No
